species,sighting_date,dive_site,url,title,excerpt,validation,notes,N_observed
manta,,Richelieu Rock,https://www.thesmilingseahorse.com/blog/-blotched-stingray-vs-nurse-shark,"Explore Myanmar and Thailand, December 2012 - Diving liveaboard in Thailand and Myanmar","t une belle croisière, bien dosée à tout point de vue"" ""Les plongées furent divines: un festival de mantas, requin baleine, requin léopard et ""guitar hero""! On a tout vu!"" ""Truly a beautiful cruise, well ba",not valid,,
manta,,Richelieu Rock,https://www.thesmilingseahorse.com/blog/-blotched-stingray-vs-nurse-shark,"Explore Myanmar and Thailand, December 2012 - Diving liveaboard in Thailand and Myanmar","t vu!"" ""Truly a beautiful cruise, well balanced in every way"" ""The dives were divine: a festival of mantas, whale shark, leopard shark and guitar hero! We have seen everything!""​ 6 jours de plaisir partages",not valid,,
eagle ray,2012-12-20,Seafan Forest,https://www.thesmilingseahorse.com/blog/-blotched-stingray-vs-nurse-shark,"Explore Myanmar and Thailand, December 2012 - Diving liveaboard in Thailand and Myanmar","Archipelago 20th of December, after doing 2 dives at the well-known Seafan forest where we found an eagle ray and a school of tunas, we head towards Western Rocky, where we will be able to complete the deep sp",valid,,1.0
stingray,2012-12-20,Seafan Forest,https://www.thesmilingseahorse.com/blog/-blotched-stingray-vs-nurse-shark,"Explore Myanmar and Thailand, December 2012 - Diving liveaboard in Thailand and Myanmar","ng in Burma and Thailand Explore Myanmar and Thailand, December 2012 29/12/2012 0 Comments Blotched stingray vs nurse shark... Blotched stingray Cuttle fish 18th of December, one of our favorite dive site awa",not valid,,1.0
Blotched fantail ray,2012-12-28,Shark Cave,https://www.thesmilingseahorse.com/blog/-blotched-stingray-vs-nurse-shark,"Explore Myanmar and Thailand, December 2012 - Diving liveaboard in Thailand and Myanmar","nmar and Thailand, December 2012 29/12/2012 0 Comments Blotched stingray vs nurse shark... Blotched stingray Cuttle fish 18th of December, one of our favorite dive site awaits us on that 3rd day into our very",not valid,,2.0
Blotched fantail ray,2012-12-28,Shark Cave,https://www.thesmilingseahorse.com/blog/-blotched-stingray-vs-nurse-shark,"Explore Myanmar and Thailand, December 2012 - Diving liveaboard in Thailand and Myanmar","ng experience for Romain and Carol-Ann… inside the cave the way is obstructed by 2 massive blotched stingrays, that keep us from going all the way through… “it was a WOW feeling” Romain said. On our 2dn dive t",valid,,2.0
ray,2012-12-28,Shark Cave,https://www.thesmilingseahorse.com/blog/-blotched-stingray-vs-nurse-shark,"Explore Myanmar and Thailand, December 2012 - Diving liveaboard in Thailand and Myanmar","elago 20th of December, after doing 2 dives at the well-known Seafan forest where we found an eagle ray and a school of tunas, we head towards Western Rocky, where we will be able to complete the deep sp",not valid,,2.0
ray,2012-12-28,Shark Cave,https://www.thesmilingseahorse.com/blog/-blotched-stingray-vs-nurse-shark,"Explore Myanmar and Thailand, December 2012 - Diving liveaboard in Thailand and Myanmar","What a great atmosphere, good diving, good food, good people, awesome! The Mantas are back ! Manta ray encounter Manta in deep blue sea 25th of December, Christmas day… I wish to get some Mantas for thi",not valid,,2.0
ray,2012-12-28,Shark Cave,https://www.thesmilingseahorse.com/blog/-blotched-stingray-vs-nurse-shark,"Explore Myanmar and Thailand, December 2012 - Diving liveaboard in Thailand and Myanmar","a red filter, or everything is monochrome and colorless""... Some great dive sites... ""Manta, seen, Rays, Seen, Seahorse, seen. Some great dive sites, favorite is black Rock."" Mantas, requin baleine, requ",not valid,,2.0
shark,2012-12-28,Shark Cave,https://www.thesmilingseahorse.com/blog/-blotched-stingray-vs-nurse-shark,"Explore Myanmar and Thailand, December 2012 - Diving liveaboard in Thailand and Myanmar","ailand Explore Myanmar and Thailand, December 2012 29/12/2012 0 Comments Blotched stingray vs nurse shark... Blotched stingray Cuttle fish 18th of December, one of our favorite dive site awaits us on that",not valid,,2.0
shark,2012-12-28,Shark Cave,https://www.thesmilingseahorse.com/blog/-blotched-stingray-vs-nurse-shark,"Explore Myanmar and Thailand, December 2012 - Diving liveaboard in Thailand and Myanmar","ite dive site awaits us on that 3rd day into our very popular trip “exp lore Burma ”, today we dive shark cave … This pace is amazing, always full of surprises! I know it’s going to be a thrilling experien",not valid,,2.0
shark,2012-12-28,Shark Cave,https://www.thesmilingseahorse.com/blog/-blotched-stingray-vs-nurse-shark,"Explore Myanmar and Thailand, December 2012 - Diving liveaboard in Thailand and Myanmar","black Rock."" Mantas, requin baleine, requin leopard et guitar hero! On a tout vu... ​Mantas, whale sharks, leopard sharks and guitar heroes! We saw everything ... ""Vraiment une belle croisière, bien dosée",not valid,,2.0
Zebra shark,2012-12-19,Mergui Archipelago,https://www.thesmilingseahorse.com/blog/-blotched-stingray-vs-nurse-shark,"Explore Myanmar and Thailand, December 2012 - Diving liveaboard in Thailand and Myanmar","ntas, requin baleine, requin leopard et guitar hero! On a tout vu... ​Mantas, whale sharks, leopard sharks and guitar heroes! We saw everything ... ""Vraiment une belle croisière, bien dosée à tout point de",valid,,1.0
shark,,Mergui Archipelago,https://www.thesmilingseahorse.com/blog/-blotched-stingray-vs-nurse-shark,"Explore Myanmar and Thailand, December 2012 - Diving liveaboard in Thailand and Myanmar","a beautiful cruise, well balanced in every way"" ""The dives were divine: a festival of mantas, whale shark, leopard shark and guitar hero! We have seen everything!""​ 6 jours de plaisir partages sur et sous",not valid,,
shark,,Richelieu Rock,https://www.thesmilingseahorse.com/blog/-blotched-stingray-vs-nurse-shark,"Explore Myanmar and Thailand, December 2012 - Diving liveaboard in Thailand and Myanmar","ise, well balanced in every way"" ""The dives were divine: a festival of mantas, whale shark, leopard shark and guitar hero! We have seen everything!""​ 6 jours de plaisir partages sur et sous l'eau... nombre",not valid,,
leopard shark,,Richelieu Rock,https://www.thesmilingseahorse.com/blog/-blotched-stingray-vs-nurse-shark,"Explore Myanmar and Thailand, December 2012 - Diving liveaboard in Thailand and Myanmar","ock."" Mantas, requin baleine, requin leopard et guitar hero! On a tout vu... ​Mantas, whale sharks, leopard sharks and guitar heroes! We saw everything ... ""Vraiment une belle croisière, bien dosée à tout point de",not valid,,
leopard shark,,Richelieu Rock,https://www.thesmilingseahorse.com/blog/-blotched-stingray-vs-nurse-shark,"Explore Myanmar and Thailand, December 2012 - Diving liveaboard in Thailand and Myanmar","iful cruise, well balanced in every way"" ""The dives were divine: a festival of mantas, whale shark, leopard shark and guitar hero! We have seen everything!""​ 6 jours de plaisir partages sur et sous l'eau... nombre",not valid,,
nurse shark,,Richelieu Rock,https://www.thesmilingseahorse.com/blog/-blotched-stingray-vs-nurse-shark,"Explore Myanmar and Thailand, December 2012 - Diving liveaboard in Thailand and Myanmar","and Thailand Explore Myanmar and Thailand, December 2012 29/12/2012 0 Comments Blotched stingray vs nurse shark... Blotched stingray Cuttle fish 18th of December, one of our favorite dive site awaits us on that",not valid,,
whale shark,,Richelieu Rock,https://www.thesmilingseahorse.com/blog/-blotched-stingray-vs-nurse-shark,"Explore Myanmar and Thailand, December 2012 - Diving liveaboard in Thailand and Myanmar","ite is black Rock."" Mantas, requin baleine, requin leopard et guitar hero! On a tout vu... ​Mantas, whale sharks, leopard sharks and guitar heroes! We saw everything ... ""Vraiment une belle croisière, bien dosée",not valid,,
whale shark,,Richelieu Rock,https://www.thesmilingseahorse.com/blog/-blotched-stingray-vs-nurse-shark,"Explore Myanmar and Thailand, December 2012 - Diving liveaboard in Thailand and Myanmar","Truly a beautiful cruise, well balanced in every way"" ""The dives were divine: a festival of mantas, whale shark, leopard shark and guitar hero! We have seen everything!""​ 6 jours de plaisir partages sur et sous",not valid,,
sharks,,Richelieu Rock,https://www.thesmilingseahorse.com/blog/-blotched-stingray-vs-nurse-shark,"Explore Myanmar and Thailand, December 2012 - Diving liveaboard in Thailand and Myanmar","black Rock."" Mantas, requin baleine, requin leopard et guitar hero! On a tout vu... ​Mantas, whale sharks, leopard sharks and guitar heroes! We saw everything ... ""Vraiment une belle croisière, bien dosée",not valid,,
sharks,,Richelieu Rock,https://www.thesmilingseahorse.com/blog/-blotched-stingray-vs-nurse-shark,"Explore Myanmar and Thailand, December 2012 - Diving liveaboard in Thailand and Myanmar","ntas, requin baleine, requin leopard et guitar hero! On a tout vu... ​Mantas, whale sharks, leopard sharks and guitar heroes! We saw everything ... ""Vraiment une belle croisière, bien dosée à tout point de",not valid,,
rays,,Richelieu Rock,https://www.thesmilingseahorse.com/blog/-blotched-stingray-vs-nurse-shark,"Explore Myanmar and Thailand, December 2012 - Diving liveaboard in Thailand and Myanmar","a red filter, or everything is monochrome and colorless""... Some great dive sites... ""Manta, seen, Rays, Seen, Seahorse, seen. Some great dive sites, favorite is black Rock."" Mantas, requin baleine, requ",not valid,,
mantas,,Richelieu Rock,https://www.thesmilingseahorse.com/blog/-blotched-stingray-vs-nurse-shark,"Explore Myanmar and Thailand, December 2012 - Diving liveaboard in Thailand and Myanmar","ding the Christmas tree! What a great atmosphere, good diving, good food, good people, awesome! The Mantas are back ! Manta ray encounter Manta in deep blue sea 25th of December, Christmas day… I wish to ge",not valid,,
mantas,,Richelieu Rock,https://www.thesmilingseahorse.com/blog/-blotched-stingray-vs-nurse-shark,"Explore Myanmar and Thailand, December 2012 - Diving liveaboard in Thailand and Myanmar","ck ! Manta ray encounter Manta in deep blue sea 25th of December, Christmas day… I wish to get some Mantas for this upcoming dive! We go to Koh Tachai pinnacle. That’s a cleaning station very famous for Man",not valid,,
mantas,,Richelieu Rock,https://www.thesmilingseahorse.com/blog/-blotched-stingray-vs-nurse-shark,"Explore Myanmar and Thailand, December 2012 - Diving liveaboard in Thailand and Myanmar","tas for this upcoming dive! We go to Koh Tachai pinnacle. That’s a cleaning station very famous for Mantas sighting, let’s keep our fingers crossed… As soon as we hit the water, they are there! Finally, tha",not valid,,
mantas,,Richelieu Rock,https://www.thesmilingseahorse.com/blog/-blotched-stingray-vs-nurse-shark,"Explore Myanmar and Thailand, December 2012 - Diving liveaboard in Thailand and Myanmar","us passing by again and again, There are so many fish to look at but we can’t get our eyes off the mantas, they are so gracious and so big absolutely fantastic. When the time is up we head towards the moor",not valid,,
mantas,,Richelieu Rock,https://www.thesmilingseahorse.com/blog/-blotched-stingray-vs-nurse-shark,"Explore Myanmar and Thailand, December 2012 - Diving liveaboard in Thailand and Myanmar","oh Bon, so we decide to go to Richelieu Rock . Although the dive site is amazing, we still have the mantas in our minds… The rock is covered by reddish soft corals, Huge school of yellow fusiliers make it f",not valid,,
mantas,,Richelieu Rock,https://www.thesmilingseahorse.com/blog/-blotched-stingray-vs-nurse-shark,"Explore Myanmar and Thailand, December 2012 - Diving liveaboard in Thailand and Myanmar","sites... ""Manta, seen, Rays, Seen, Seahorse, seen. Some great dive sites, favorite is black Rock."" Mantas, requin baleine, requin leopard et guitar hero! On a tout vu... ​Mantas, whale sharks, leopard shar",not valid,,
mantas,,Richelieu Rock,https://www.thesmilingseahorse.com/blog/-blotched-stingray-vs-nurse-shark,"Explore Myanmar and Thailand, December 2012 - Diving liveaboard in Thailand and Myanmar","s, favorite is black Rock."" Mantas, requin baleine, requin leopard et guitar hero! On a tout vu... ​Mantas, whale sharks, leopard sharks and guitar heroes! We saw everything ... ""Vraiment une belle croisièr",not valid,,
mantas,,Richelieu Rock,https://www.thesmilingseahorse.com/blog/-blotched-stingray-vs-nurse-shark,"Explore Myanmar and Thailand, December 2012 - Diving liveaboard in Thailand and Myanmar","t une belle croisière, bien dosée à tout point de vue"" ""Les plongées furent divines: un festival de mantas, requin baleine, requin léopard et ""guitar hero""! On a tout vu!"" ""Truly a beautiful cruise, well ba",not valid,,
mantas,,Richelieu Rock,https://www.thesmilingseahorse.com/blog/-blotched-stingray-vs-nurse-shark,"Explore Myanmar and Thailand, December 2012 - Diving liveaboard in Thailand and Myanmar","t vu!"" ""Truly a beautiful cruise, well balanced in every way"" ""The dives were divine: a festival of mantas, whale shark, leopard shark and guitar hero! We have seen everything!""​ 6 jours de plaisir partages",not valid,,
sharks,,Richelieu Rock,https://www.thesmilingseahorse.com/blog/-blotched-stingray-vs-nurse-shark,"Explore Myanmar and Thailand, December 2012 - Diving liveaboard in Thailand and Myanmar","black Rock."" Mantas, requin baleine, requin leopard et guitar hero! On a tout vu... ​Mantas, whale sharks, leopard sharks and guitar heroes! We saw everything ... ""Vraiment une belle croisière, bien dosée",not valid,,
sharks,,Richelieu Rock,https://www.thesmilingseahorse.com/blog/-blotched-stingray-vs-nurse-shark,"Explore Myanmar and Thailand, December 2012 - Diving liveaboard in Thailand and Myanmar","ntas, requin baleine, requin leopard et guitar hero! On a tout vu... ​Mantas, whale sharks, leopard sharks and guitar heroes! We saw everything ... ""Vraiment une belle croisière, bien dosée à tout point de",not valid,,
whale shark,2022-03-08,Richelieu Rock,https://www.thesmilingseahorse.com/blog/08-mar-2022-a-cruise-for-photographers-around-richelieu-rock,08 Mar 2022: a cruise for photographers around Richelieu Rock - Diving liveaboard in Thailand and Myanmar,School of Jacks The highlight for most diver was for sure the surprise visit of a magnificent Whale shark but unfortunately all the photographers went on this dive with a macro lense! So we didn't get any,valid,,1.0
whale shark,,Richelieu Rock,https://www.thesmilingseahorse.com/blog/08-mar-2022-a-cruise-for-photographers-around-richelieu-rock,08 Mar 2022: a cruise for photographers around Richelieu Rock - Diving liveaboard in Thailand and Myanmar,efish School of Jacks The highlight for most diver was for sure the surprise visit of a magnificent Whale shark but unfortunately all the photographers went on this dive with a macro lense! So we didn't get any,not valid,,
manta,,,https://www.thesmilingseahorse.com/blog/10-interesting-marine-life-fun-facts,10 interesting marine life fun facts - Diving liveaboard in Thailand and Myanmar,"head (and not in the front), they are classified as Rays! read more about Guitar Rays guitarfish 3) MANTA Rays can jump out of water! ​Why do mantas jump out of the water? Scientists are still unsure about",not valid,,
manta,,,https://www.thesmilingseahorse.com/blog/10-interesting-marine-life-fun-facts,10 interesting marine life fun facts - Diving liveaboard in Thailand and Myanmar,sified as Rays! read more about Guitar Rays guitarfish 3) MANTA Rays can jump out of water! ​Why do mantas jump out of the water? Scientists are still unsure about the meaning of the jumps. Few reasons are,not valid,,
manta,,,https://www.thesmilingseahorse.com/blog/10-interesting-marine-life-fun-facts,10 interesting marine life fun facts - Diving liveaboard in Thailand and Myanmar,"so be a form of mating ritual, or of socialisation (show off!!). (read more about the Giant oceanic manta ) 4) The m antis shrimp can punch at the speed of a bullet. If a human being could move that fast,",not valid,,
ray,,,https://www.thesmilingseahorse.com/blog/10-interesting-marine-life-fun-facts,10 interesting marine life fun facts - Diving liveaboard in Thailand and Myanmar,"sh aka ""NEMO"" 2) GUITARSHARK aren't SHARKS!!! ​A guitarfish often called guitar shark is actually a ray. With a guitar-shape body, guitarfish has a two dorsal fins similar to most sharks but their mouth",not valid,,
ray,,,https://www.thesmilingseahorse.com/blog/10-interesting-marine-life-fun-facts,10 interesting marine life fun facts - Diving liveaboard in Thailand and Myanmar,"o most sharks but their mouth being below their head (and not in the front), they are classified as Rays! read more about Guitar Rays guitarfish 3) MANTA Rays can jump out of water! ​Why do mantas jump ou",not valid,,
ray,,,https://www.thesmilingseahorse.com/blog/10-interesting-marine-life-fun-facts,10 interesting marine life fun facts - Diving liveaboard in Thailand and Myanmar,"being below their head (and not in the front), they are classified as Rays! read more about Guitar Rays guitarfish 3) MANTA Rays can jump out of water! ​Why do mantas jump out of the water? Scientists ar",not valid,,
ray,,,https://www.thesmilingseahorse.com/blog/10-interesting-marine-life-fun-facts,10 interesting marine life fun facts - Diving liveaboard in Thailand and Myanmar,"and not in the front), they are classified as Rays! read more about Guitar Rays guitarfish 3) MANTA Rays can jump out of water! ​Why do mantas jump out of the water? Scientists are still unsure about the",not valid,,
shark,,,https://www.thesmilingseahorse.com/blog/10-interesting-marine-life-fun-facts,10 interesting marine life fun facts - Diving liveaboard in Thailand and Myanmar,"er and take on the role of the matriarch. Anemone Fish, clown fish aka ""NEMO"" 2) GUITARSHARK aren't SHARKS!!! ​A guitarfish often called guitar shark is actually a ray. With a guitar-shape body, guitarfish",not valid,,
shark,,,https://www.thesmilingseahorse.com/blog/10-interesting-marine-life-fun-facts,10 interesting marine life fun facts - Diving liveaboard in Thailand and Myanmar,"emone Fish, clown fish aka ""NEMO"" 2) GUITARSHARK aren't SHARKS!!! ​A guitarfish often called guitar shark is actually a ray. With a guitar-shape body, guitarfish has a two dorsal fins similar to most shark",not valid,,
shark,,,https://www.thesmilingseahorse.com/blog/10-interesting-marine-life-fun-facts,10 interesting marine life fun facts - Diving liveaboard in Thailand and Myanmar,"shark is actually a ray. With a guitar-shape body, guitarfish has a two dorsal fins similar to most sharks but their mouth being below their head (and not in the front), they are classified as Rays! read mo",not valid,,
shark,,,https://www.thesmilingseahorse.com/blog/10-interesting-marine-life-fun-facts,10 interesting marine life fun facts - Diving liveaboard in Thailand and Myanmar,"ld break steel! 5) Jellyfish have been around for over 650 millions years, longer than dinosaurs or sharks. 6) Dolphins need to sleep 8 hours each day. To do this one part of their large brain will rest and",not valid,,
guitar shark,,,https://www.thesmilingseahorse.com/blog/10-interesting-marine-life-fun-facts,10 interesting marine life fun facts - Diving liveaboard in Thailand and Myanmar,"rch. Anemone Fish, clown fish aka ""NEMO"" 2) GUITARSHARK aren't SHARKS!!! ​A guitarfish often called guitar shark is actually a ray. With a guitar-shape body, guitarfish has a two dorsal fins similar to most shark",not valid,,
sharks,,,https://www.thesmilingseahorse.com/blog/10-interesting-marine-life-fun-facts,10 interesting marine life fun facts - Diving liveaboard in Thailand and Myanmar,"er and take on the role of the matriarch. Anemone Fish, clown fish aka ""NEMO"" 2) GUITARSHARK aren't SHARKS!!! ​A guitarfish often called guitar shark is actually a ray. With a guitar-shape body, guitarfish",not valid,,
sharks,,,https://www.thesmilingseahorse.com/blog/10-interesting-marine-life-fun-facts,10 interesting marine life fun facts - Diving liveaboard in Thailand and Myanmar,"shark is actually a ray. With a guitar-shape body, guitarfish has a two dorsal fins similar to most sharks but their mouth being below their head (and not in the front), they are classified as Rays! read mo",not valid,,
sharks,,,https://www.thesmilingseahorse.com/blog/10-interesting-marine-life-fun-facts,10 interesting marine life fun facts - Diving liveaboard in Thailand and Myanmar,"ld break steel! 5) Jellyfish have been around for over 650 millions years, longer than dinosaurs or sharks. 6) Dolphins need to sleep 8 hours each day. To do this one part of their large brain will rest and",not valid,,
rays,,,https://www.thesmilingseahorse.com/blog/10-interesting-marine-life-fun-facts,10 interesting marine life fun facts - Diving liveaboard in Thailand and Myanmar,"o most sharks but their mouth being below their head (and not in the front), they are classified as Rays! read more about Guitar Rays guitarfish 3) MANTA Rays can jump out of water! ​Why do mantas jump ou",not valid,,
rays,,,https://www.thesmilingseahorse.com/blog/10-interesting-marine-life-fun-facts,10 interesting marine life fun facts - Diving liveaboard in Thailand and Myanmar,"being below their head (and not in the front), they are classified as Rays! read more about Guitar Rays guitarfish 3) MANTA Rays can jump out of water! ​Why do mantas jump out of the water? Scientists ar",not valid,,
rays,,,https://www.thesmilingseahorse.com/blog/10-interesting-marine-life-fun-facts,10 interesting marine life fun facts - Diving liveaboard in Thailand and Myanmar,"and not in the front), they are classified as Rays! read more about Guitar Rays guitarfish 3) MANTA Rays can jump out of water! ​Why do mantas jump out of the water? Scientists are still unsure about the",not valid,,
oceanic manta,,,https://www.thesmilingseahorse.com/blog/10-interesting-marine-life-fun-facts,10 interesting marine life fun facts - Diving liveaboard in Thailand and Myanmar,"t can also be a form of mating ritual, or of socialisation (show off!!). (read more about the Giant oceanic manta ) 4) The m antis shrimp can punch at the speed of a bullet. If a human being could move that fast,",not valid,,
mantas,,,https://www.thesmilingseahorse.com/blog/10-interesting-marine-life-fun-facts,10 interesting marine life fun facts - Diving liveaboard in Thailand and Myanmar,sified as Rays! read more about Guitar Rays guitarfish 3) MANTA Rays can jump out of water! ​Why do mantas jump out of the water? Scientists are still unsure about the meaning of the jumps. Few reasons are,not valid,,
sharks,,,https://www.thesmilingseahorse.com/blog/10-interesting-marine-life-fun-facts,10 interesting marine life fun facts - Diving liveaboard in Thailand and Myanmar,"er and take on the role of the matriarch. Anemone Fish, clown fish aka ""NEMO"" 2) GUITARSHARK aren't SHARKS!!! ​A guitarfish often called guitar shark is actually a ray. With a guitar-shape body, guitarfish",not valid,,
sharks,,,https://www.thesmilingseahorse.com/blog/10-interesting-marine-life-fun-facts,10 interesting marine life fun facts - Diving liveaboard in Thailand and Myanmar,"shark is actually a ray. With a guitar-shape body, guitarfish has a two dorsal fins similar to most sharks but their mouth being below their head (and not in the front), they are classified as Rays! read mo",not valid,,
sharks,,,https://www.thesmilingseahorse.com/blog/10-interesting-marine-life-fun-facts,10 interesting marine life fun facts - Diving liveaboard in Thailand and Myanmar,"ld break steel! 5) Jellyfish have been around for over 650 millions years, longer than dinosaurs or sharks. 6) Dolphins need to sleep 8 hours each day. To do this one part of their large brain will rest and",not valid,,
guitarfish,,,https://www.thesmilingseahorse.com/blog/10-interesting-marine-life-fun-facts,10 interesting marine life fun facts - Diving liveaboard in Thailand and Myanmar,"n the role of the matriarch. Anemone Fish, clown fish aka ""NEMO"" 2) GUITARSHARK aren't SHARKS!!! ​A guitarfish often called guitar shark is actually a ray. With a guitar-shape body, guitarfish has a two dorsal",not valid,,
guitarfish,,,https://www.thesmilingseahorse.com/blog/10-interesting-marine-life-fun-facts,10 interesting marine life fun facts - Diving liveaboard in Thailand and Myanmar,"en't SHARKS!!! ​A guitarfish often called guitar shark is actually a ray. With a guitar-shape body, guitarfish has a two dorsal fins similar to most sharks but their mouth being below their head (and not in the",not valid,,
guitarfish,,,https://www.thesmilingseahorse.com/blog/10-interesting-marine-life-fun-facts,10 interesting marine life fun facts - Diving liveaboard in Thailand and Myanmar,"g below their head (and not in the front), they are classified as Rays! read more about Guitar Rays guitarfish 3) MANTA Rays can jump out of water! ​Why do mantas jump out of the water? Scientists are still uns",not valid,,
guitarshark,,,https://www.thesmilingseahorse.com/blog/10-interesting-marine-life-fun-facts,10 interesting marine life fun facts - Diving liveaboard in Thailand and Myanmar,"te will change gender and take on the role of the matriarch. Anemone Fish, clown fish aka ""NEMO"" 2) GUITARSHARK aren't SHARKS!!! ​A guitarfish often called guitar shark is actually a ray. With a guitar-shape bod",not valid,,
shark,,,https://www.thesmilingseahorse.com/blog/10-remarkable-ways-scuba-diving-can-transform-your-life,the benefits of scuba diving. 10 ways it can change your life! - Diving liveaboard in Thailand and Myanmar,"ba diving offers a world of excitement. Whether it's battling a strong current, meeting a big nurse sharks sleeping in a tunnel, or exploring the mesmerizing glow of bioluminescent creatures during a blackw",not valid,,
shark,,,https://www.thesmilingseahorse.com/blog/10-remarkable-ways-scuba-diving-can-transform-your-life,the benefits of scuba diving. 10 ways it can change your life! - Diving liveaboard in Thailand and Myanmar,"blackwater dive , scuba can deliver heart-pounding thrills alongside its calming moments. Dive with sharks is so exciting! Time to strike a pose and marvel... 10. Dive into the best addiction ever! Dive, Tr",not valid,,
nurse shark,,,https://www.thesmilingseahorse.com/blog/10-remarkable-ways-scuba-diving-can-transform-your-life,the benefits of scuba diving. 10 ways it can change your life! - Diving liveaboard in Thailand and Myanmar,"s, scuba diving offers a world of excitement. Whether it's battling a strong current, meeting a big nurse sharks sleeping in a tunnel, or exploring the mesmerizing glow of bioluminescent creatures during a blackw",not valid,,
sharks,,,https://www.thesmilingseahorse.com/blog/10-remarkable-ways-scuba-diving-can-transform-your-life,the benefits of scuba diving. 10 ways it can change your life! - Diving liveaboard in Thailand and Myanmar,"ba diving offers a world of excitement. Whether it's battling a strong current, meeting a big nurse sharks sleeping in a tunnel, or exploring the mesmerizing glow of bioluminescent creatures during a blackw",not valid,,
sharks,,,https://www.thesmilingseahorse.com/blog/10-remarkable-ways-scuba-diving-can-transform-your-life,the benefits of scuba diving. 10 ways it can change your life! - Diving liveaboard in Thailand and Myanmar,"blackwater dive , scuba can deliver heart-pounding thrills alongside its calming moments. Dive with sharks is so exciting! Time to strike a pose and marvel... 10. Dive into the best addiction ever! Dive, Tr",not valid,,
